longitude,latitude,area,type
-0.570,51.236,1381,graveyard
-1.179,52.944,4421,graveyard
-3.539,50.727,8062,graveyard
-2.850,53.046,5687,graveyard
0.895,51.317,14177,graveyard
-4.094,53.264,5644,graveyard
-0.229,52.262,5214,graveyard
-3.552,50.750,823,graveyard
-0.787,50.785,6862,graveyard
-2.875,51.432,11176,graveyard
-2.218,53.524,14794,graveyard
-1.180,51.698,2394,graveyard
-4.094,53.280,3702,graveyard
-1.776,53.343,3747,graveyard
-0.277,52.255,15311,graveyard
1.245,52.606,1765,graveyard
-2.471,51.457,9380,graveyard
-0.080,51.498,7352,graveyard
-1.363,54.870,8621,graveyard
-2.787,53.500,13394,graveyard
-1.011,50.926,7488,graveyard
-1.370,54.868,28682,graveyard
-3.068,50.710,8325,graveyard
-1.368,54.882,137962,graveyard
-1.420,54.900,326259,graveyard
0.564,51.418,10754,graveyard
-1.536,54.000,18125,graveyard
-3.851,53.337,35029,graveyard
-0.061,51.857,5427,graveyard
-1.542,54.837,10404,graveyard
-1.075,52.701,4116,graveyard
-0.978,52.686,2824,graveyard
-5.474,57.415,7275,graveyard
-5.475,57.413,2285,graveyard
-1.393,53.137,3132,graveyard
-0.835,51.724,9063,graveyard
-1.140,52.084,6269,graveyard
-2.689,53.466,24124,graveyard
-2.667,53.731,8795,graveyard
-2.161,51.852,13283,graveyard
-1.485,51.876,8607,graveyard
-2.155,50.867,17816,graveyard
-0.604,52.200,10127,graveyard
-1.132,51.723,4712,graveyard
-2.365,51.350,1596,graveyard
-1.338,53.121,13218,graveyard
-1.548,52.905,6782,graveyard
0.899,51.891,1250,graveyard
-1.082,51.505,8911,graveyard
0.899,51.890,110,graveyard
-4.144,50.384,139385,graveyard
-1.332,50.927,6369,graveyard
-2.093,52.491,32111,graveyard
-2.813,51.370,9190,graveyard
-0.161,52.110,1919,graveyard
-3.300,55.978,4480,graveyard
-2.349,51.780,2421,graveyard
-1.860,52.025,5956,graveyard
-3.150,55.875,6944,graveyard
-3.119,55.883,4011,graveyard
-3.117,55.883,3052,graveyard
-3.713,50.450,5276,graveyard
0.797,51.210,4826,graveyard
-3.119,55.883,1347,graveyard
-1.587,52.829,4020,graveyard
-1.564,52.850,1842,graveyard
-0.689,50.841,5921,graveyard
-0.688,50.841,1704,graveyard
-0.541,51.279,4512,graveyard
-1.600,53.753,9137,graveyard
-0.415,50.865,3499,graveyard
-0.665,51.222,2387,graveyard
-1.107,51.702,2861,graveyard
-0.773,51.714,3798,graveyard
-1.008,51.709,4512,graveyard
-2.053,52.450,26615,graveyard
-1.337,52.783,3958,graveyard
-0.075,51.794,22920,graveyard
-0.033,51.812,4142,graveyard
0.938,52.681,8631,graveyard
-0.097,51.835,3472,graveyard
-2.487,53.745,1092,graveyard
-1.422,54.994,63672,graveyard
