formOfNode,longitude,latitude
junction,-3.343002358969648,53.12541106167622
source,-3.2867350146371064,53.12770398007011
source,-3.3003000522619774,53.12786167466538
junction,-3.3009389494154435,53.12802891235665
source,-3.354771124744457,53.12918702948232
source,-3.3092594087224154,53.13097446808034
junction,-3.3096061737917375,53.1310727755963
junction,-3.315621593645639,53.131784944051404
junction,-3.304906823101964,53.13192814623866
source,-3.304874361464515,53.132193605834956
source,-3.0357823019084464,53.102568524461844
source,-3.0353025959240925,53.0967249904325
junction,-3.0332659584121937,53.09685479083446
junction,-3.0285751691927185,53.101736770259876
junction,-3.027567995713892,53.092994722039165
source,-3.0132988346923724,53.16196923020816
source,-3.0093228223868937,53.14941309907462
junction,-2.992449946409706,53.15317503007556
source,-2.988354312880306,53.08634177909555
source,-2.988822808920686,53.119754289947785
junction,-2.9880407896115844,53.08632325796831
source,-2.9828963021345727,53.11413918654564
source,-2.9770575913977018,53.147923410248765
source,-2.9760600548708687,53.1296114521883
source,-2.9750267262711176,53.1394666461002
source,-2.974132755037279,53.12996640761236
source,-2.9731141324490564,53.125916145859776
junction,-2.973077826907284,53.12592318466897
junction,-2.9714374244035326,53.12497157883078
junction,-2.968671494520469,53.13822316817189
junction,-2.966803356390905,53.12383179658849
junction,-2.963961101563965,53.132733874699625
junction,-2.962914781392014,53.129396967848244
source,-2.9602398006309465,53.12873341093042
junction,-2.958354648796016,53.13042879714297
junction,-3.103778129388599,53.07763295670412
source,-3.073988485562736,53.0800464524823
source,-3.1074225331431244,53.08033891204769
source,-3.0437694922621423,53.08569864852877
junction,-3.063604268567165,53.08713893813998
source,-3.1372879834070186,53.086795094099244
junction,-3.066429975902905,53.08992788618657
junction,-3.038678680062414,53.091567277810334
source,-3.1191612873131414,53.09437333916904
source,-3.0928977893851872,53.09592381027685
junction,-3.12066724435134,53.0981840163644
junction,-3.080492683867466,53.10054917854472
junction,-3.0832509615678476,53.10486708747976
source,-3.0808655390075654,53.10725839589542
junction,-3.0378764975661188,53.112397998993266
source,-3.037635615433525,53.112842557876746
junction,-3.1467462741313827,53.11503017381095
junction,-3.145750035629004,53.12030652910755
source,-3.052481540930468,53.121710324423944
junction,-3.049175939061344,53.12246369454694
junction,-3.1393688430850486,53.12187037639042
junction,-3.050078392860145,53.12277719715385
source,-3.094338193380077,53.123166328960956
junction,-3.1356011570316644,53.12491300110788
junction,-3.0912557201348116,53.125984229527276
source,-3.139023917717716,53.125892510972
source,-3.057471416780637,53.12714199105892
junction,-3.0511779007793547,53.128176141750835
junction,-3.0999616421297223,53.12811001297294
source,-3.191509093641759,53.06262525751953
source,-3.1891228066837924,53.096227109453395
junction,-3.1821360501377423,53.0566749749542
source,-3.181661044317436,53.05695567580391
source,-3.1772041589631983,53.096111350559354
junction,-3.175478338780768,53.05641013902823
source,-3.175216923111144,53.05648122296723
junction,-3.1737581650380626,53.07031811153159
source,-3.1730247901708672,53.07112766521828
source,-3.169470851745052,53.0699780991101
