from,to,volume
FL,MA,9455
FL,MI,12601
FL,MN,5720
FL,MS,3369
FL,MO,7112
FL,MT,1263
FL,NE,1111
FL,NV,4018
FL,NH,3806
FL,NJ,13591
FL,NM,2196
FL,NY,24084
FL,NC,37585
FL,ND,1355
FL,OH,15037
FL,OK,5489
FL,OR,3824
FL,PA,17029
FL,RI,657
FL,SC,15772
FL,SD,2128
FL,TN,26724
FL,TX,37262
FL,UT,2743
FL,VT,2105
FL,VA,20272
FL,WA,8084
FL,WV,1722
FL,WI,5593
FL,WY,1159
GA,AL,18433
GA,AK,565
GA,AZ,3149
GA,AR,929
GA,CA,11753
GA,CO,8239
GA,CT,2606
GA,DE,118
GA,DC,647
GA,FL,35350
GA,GA,-1
GA,HI,2192
GA,ID,436
GA,IL,4106
GA,IN,4525
GA,IA,140
GA,KS,1072
GA,KY,3638
GA,LA,5901
GA,ME,235
GA,MD,3676
GA,MA,2988
GA,MI,1477
GA,MN,727
GA,MS,3358
GA,MO,1919
GA,MT,892
GA,NE,982
GA,NV,1511
GA,NH,533
GA,NJ,1817
GA,NM,232
GA,NY,7994
GA,NC,17020
GA,ND,1194
GA,OH,5178
GA,OK,1590
GA,OR,1203
GA,PA,4255
GA,RI,739
GA,SC,16110
GA,SD,968
GA,TN,17439
GA,TX,14235
GA,UT,2665
GA,VT,170
GA,VA,7894
GA,WA,5899
GA,WV,582
GA,WI,2016
GA,WY,40
HI,AL,627
HI,AK,1029
HI,AZ,591
HI,AR,468
HI,CA,12848
HI,CO,3356
HI,CT,472
HI,DE,0
HI,DC,124
HI,FL,3008
HI,GA,2335
HI,HI,-1
HI,ID,0
HI,IL,459
HI,IN,47
HI,IA,689
HI,KS,564
HI,KY,402
HI,LA,1117
HI,ME,55
HI,MD,892
HI,MA,257
HI,MI,496
HI,MN,241
HI,MS,489
HI,MO,322
HI,MT,225
HI,NE,420
HI,NV,4959
HI,NH,151
HI,NJ,305
HI,NM,313
HI,NY,1181
HI,NC,3402
HI,ND,204
HI,OH,735
HI,OK,931
HI,OR,2729
HI,PA,783
HI,RI,0
HI,SC,857
HI,SD,0
HI,TN,1515
HI,TX,7986
HI,UT,2533
HI,VT,98
HI,VA,3116
HI,WA,3416
HI,WV,42
HI,WI,449
HI,WY,55
ID,AL,627
ID,AK,1029
ID,AZ,591
ID,AR,468
ID,CA,12848
ID,CO,3356
ID,CT,472
ID,DE,0
ID,DC,124
ID,FL,3008
ID,GA,2335
ID,HI,-1
ID,ID,0
ID,IL,459
ID,IN,47
ID,IA,689
ID,KS,564
ID,KY,402
ID,LA,1117
ID,ME,55
ID,MD,892
ID,MA,257
ID,MI,496
ID,MN,241
ID,MS,489
ID,MO,322
ID,MT,225
ID,NE,420
ID,NV,4959
ID,NH,151
ID,NJ,305
ID,NM,313
ID,NY,1181
ID,NC,3402
ID,ND,204
ID,OH,735
ID,OK,931
ID,OR,2729
ID,PA,783
ID,RI,0
ID,SC,857
ID,SD,0
ID,TN,1515
ID,TX,7986
ID,UT,2533
ID,VT,98
ID,VA,3116
ID,WA,3416
ID,WV,42
ID,WI,449
ID,WY,55
IL,AL,3310
IL,AK,1024
IL,AZ,13247
IL,AR,3359
IL,CA,22165
IL,CO,7783
IL,CT,1513
IL,DE,191
IL,DC,1066
IL,FL,27622
IL,GA,6146
IL,HI,583
IL,ID,120
IL,IL,-1
IL,IN,31556
IL,IA,15699
IL,KS,2839
IL,KY,5108
IL,LA,2205
IL,ME,180
IL,MD,1827
IL,MA,3415
IL,MI,10193
IL,MN,8454
IL,MS,3245
IL,MO,20041
IL,MT,549
IL,NE,1696
IL,NV,2938
IL,NH,0
IL,NJ,972
IL,NM,482
IL,NY,5977
IL,NC,6544
IL,ND,467
IL,OH,9797
IL,OK,3201
IL,OR,2022
IL,PA,3659
IL,RI,293
IL,SC,3454
IL,SD,841
IL,TN,9857
IL,TX,19241
IL,UT,1737
IL,VT,75
IL,VA,7025
IL,WA,5382
IL,WV,564
IL,WI,25155
IL,WY,214
IN,AL,1874
IN,AK,165
IN,AZ,2555
IN,AR,1241
IN,CA,6313
IN,CO,2945
IN,CT,237
IN,DE,50
IN,DC,146
IN,FL,11784
IN,GA,4151
IN,HI,306
IN,ID,521
IN,IL,16223
IN,IN,-1
IN,IA,1251
IN,KS,731
IN,KY,11241
IN,LA,458
IN,ME,204
IN,MD,1048
